""""	PUNCTpunctPROPN	Rikki	0
Rikki	PROPN_PREDICATE_OF	0	0
-	PUNCTpunctPROPN	Rikki	0
Tikki	PROPNflatPROPN	Rikki	0
Tikki	PROPNinCOMPOUND	Tikki Rikki	0
Rikki	PROPNinCOMPOUND	Tikki Rikki	0
0	ABOUT	Tikki Rikki	0
-	PUNCTpunctPROPN	Rikki	0
tavi	INTJdiscoursePROPN	Rikki	0
""""	PUNCTpunctPROPN	Rikki	0
at	ADPcaseNOUN	hole	1
the	DETdetNOUN	hole	1
call	VERBrev_oblNOUN	hole	1
1	ABOUT	hole	1
where	ADVadvmodVERB	go	1
he	PRONnsubjVERB	go	1
go	VERBacl:relclNOUN	hole	1
in	ADPcasePROPN	Eye	1
Red	PROPNcompoundPROPN	Eye	1
Red	PROPNinCOMPOUND	Red Eye	1
Eye	PROPNinCOMPOUND	Red Eye	1
1	ABOUT	Red Eye	1
-	PUNCTpunctPROPN	Eye	1
Eye	PROPNoblVERB	go	1
call	VERB_PREDICATE_OF	1	1
to	ADPcaseNOUN	skin	1
Wrinkle	PROPNcompoundNOUN	skin	1
Wrinkle	PROPNinCOMPOUND	Wrinkle skin	1
skin	NOUNinCOMPOUND	Wrinkle skin	1
1	ABOUT	Wrinkle skin	1
-	PUNCTpunctNOUN	skin	1
call	VERBrev_oblNOUN	skin	1
1	ABOUT	skin	1
.	PUNCTpunctVERB	call	1
hear	VERB_PREDICATE_OF	2	2
what	DETdetPROPN	Eye	2
little	ADJamodPROPN	Eye	2
Red	PROPNcompoundPROPN	Eye	2
Red	PROPNinCOMPOUND	Red Eye	2
Eye	PROPNinCOMPOUND	Red Eye	2
2	ABOUT	Red Eye	2
-	PUNCTpunctPROPN	Eye	2
Eye	PROPNnsubjAUX	saith	2
saith	AUXccompVERB	hear	2
:	PUNCTpunctVERB	hear	2
""""	PUNCTpunctPROPN	Nag	2
Nag	PROPNparataxisVERB	hear	2
,	PUNCTpunctVERB	come	2
come	VERBparataxisVERB	hear	2
up	ADPcompound:prtVERB	come	2
and	CCONJccVERB	dance	2
dance	VERBconjVERB	come	2
with	ADPcaseNOUN	death	2
dance	VERBrev_oblNOUN	death	2
2	ABOUT	death	2
!	PUNCTpunctVERB	hear	2
""""	PUNCTpunctVERB	hear	2
Eye	NOUN_PREDICATE_OF	3	3
to	ADPcaseNOUN	eye	3
eye	NOUNnmodNOUN	Eye	3
and	CCONJccNOUN	head	3
head	NOUNconjNOUN	eye	3
to	ADPcaseNOUN	head	3
head	NOUNnmodNOUN	Eye	3
,	PUNCTpunctNOUN	Eye	3
(	PUNCTpunctVERB	keep	3
keep	VERBparataxisNOUN	Eye	3
the	DETdetNOUN	measure	3
keep	VERBrev_objNOUN	measure	3
3	ABOUT	measure	3
,	PUNCTpunctVERB	keep	3
Nag	PROPNvocativeVERB	keep	3
.	PUNCTpunctNOUN	Eye	3
)	PUNCTpunctVERB	keep	3
this	PRONnsubjVERB	end	4
shall	AUXauxVERB	end	4
end	VERB_PREDICATE_OF	4	4
when	ADVmarkADJ	dead	4
one	NUMnsubjADJ	dead	4
be	AUXcopADJ	dead	4
dead	ADJadvclVERB	end	4
;	PUNCTpunctVERB	end	4
(	PUNCTpunctNOUN	pleasure	4
at	ADPcaseNOUN	pleasure	4
thy	PRONnmod:possNOUN	pleasure	4
end	VERBrev_oblNOUN	pleasure	4
4	ABOUT	pleasure	4
,	PUNCTpunctNOUN	pleasure	4
Nag	PROPNapposNOUN	pleasure	4
.	PUNCTpunctVERB	end	4
)	PUNCTpunctVERB	end	4
turn	VERB_PREDICATE_OF	5	5
for	ADPcaseNOUN	turn	5
turn	VERBrev_oblNOUN	turn	5
5	ABOUT	turn	5
and	CCONJccVERB	twist	5
twist	VERBconjVERB	turn	5
for	ADPcaseNOUN	twist	5
twist	VERBrev_oblNOUN	twist	5
5	ABOUT	twist	5
--	PUNCTpunctVERB	turn	5
(	PUNCTpunctVERB	run	5
run	VERBparataxisVERB	turn	5
and	CCONJccVERB	hide	5
hide	VERBconjVERB	run	5
thee	PRONobjVERB	hide	5
,	PUNCTpunctVERB	run	5
Nag	PROPNconjVERB	run	5
.	PUNCTpunctVERB	turn	5
)	PUNCTpunctVERB	turn	5
hah	INTJ_PREDICATE_OF	6	6
!	PUNCTpunctINTJ	hah	6
the	DETdetNOUN	death	7
hooded	ADJamodNOUN	death	7
miss	VERBrev_nsubjNOUN	death	7
7	ABOUT	death	7
have	AUXauxVERB	miss	7
miss	VERB_PREDICATE_OF	7	7
!	PUNCTpunctVERB	miss	7
(	PUNCTpunctVERB	be	8
be	VERB_PREDICATE_OF	8	8
betide	ADPcasePRON	thee	8
thee	PRONoblVERB	be	8
,	PUNCTpunctVERB	be	8
Nag	PROPNvocativeVERB	be	8
!	PUNCTpunctVERB	be	8
)	PUNCTpunctVERB	be	8
this	PRONnsubjNOUN	story	9
